#Frame          side1        side2
       1      25.7874      24.7903
       2      25.5535      25.3754
       3      25.8271      25.4008
       4      25.7995      26.5261
       5      25.1254      25.4635
       6      24.4445      26.0185
       7      25.8548      26.2618
       8      25.9608      26.0112
       9      25.5110      26.1334
      10      26.0062      26.9292
      11      25.0556      25.4053
      12      25.0635      24.7934
      13      25.3766      25.5998
      14      24.6788      25.1766
      15      24.8130      26.3838
      16      24.9254      25.8698
      17      26.1789      25.7885
      18      25.9588      25.8457
      19      26.0369      26.7530
      20      24.8923      26.1385
      21      25.0761      26.0444
      22      25.3086      27.1051
      23      24.8985      27.6594
      24      25.0092      27.1807
      25      25.1256      27.6539
      26      25.7540      27.3283
      27      25.0136      26.9805
      28      24.7640      26.9006
      29      24.1178      27.0120
      30      24.7946      27.5164
      31      25.9248      26.6344
      32      26.1016      26.9938
      33      26.0369      27.0099
      34      25.4574      26.4963
      35      25.1322      26.4653
      36      24.1901      26.3406
      37      24.2621      26.5481
      38      24.6113      26.2112
      39      24.3007      25.3428
      40      25.5517      26.0497
      41      24.7755      25.7402
      42      24.8691      25.6123
      43      24.4275      24.7924
      44      24.3917      24.1030
      45      24.2414      24.2026
      46      25.1601      23.6117
      47      24.4036      23.0058
      48      24.3774      24.3844
      49      23.9971      24.2163
      50      25.1414      24.1276
      51      25.2752      24.2112
      52      25.1857      24.4584
      53      25.5975      24.3450
      54      26.7068      24.8076
      55      26.4532      25.2400
      56      26.6524      24.7905
      57      27.0570      24.8493
      58      26.8543      23.9722
      59      25.6328      24.9211
      60      25.3651      25.3058
      61      25.0707      24.7407
      62      24.7455      24.2234
      63      24.3498      24.6885
      64      24.4747      25.7872
      65      24.6478      25.6043
      66      24.1111      25.2749
      67      23.8391      24.9951
      68      24.8386      24.4703
      69      25.5807      24.7240
      70      25.4117      25.8393
      71      25.7622      26.2206
      72      25.2300      26.2053
      73      24.7572      25.6666
      74      24.5584      26.3408
      75      25.1253      26.3224
      76      25.4905      26.7989
      77      26.9429      27.4503
      78      25.4778      26.4733
      79      27.3019      25.5097
      80      26.1115      25.9104
      81      26.2911      25.8978
      82      26.4570      25.9308
      83      25.7081      26.1938
      84      25.9551      26.2536
      85      25.9707      26.6517
      86      26.7455      26.4252
      87      26.7376      27.4911
      88      26.1997      26.4101
      89      26.4198      26.4402
      90      27.4877      26.7912
      91      27.5823      27.0588
      92      26.9538      27.2255
      93      26.3514      27.8305
      94      25.6514      27.9630
      95      25.8080      27.1151
      96      24.9191      27.5644
      97      25.3773      26.4917
      98      25.9852      26.1347
      99      26.7566      26.8110
     100      25.6011      27.3234
     101      26.1463      26.5182
     102      26.1367      27.0071
     103      26.2347      26.5142
     104      25.4187      26.4453
     105      25.5997      26.3397
     106      26.7085      26.8341
     107      25.8643      26.2399
     108      25.8109      27.0613
     109      26.2724      26.6150
     110      24.9722      27.1984
     111      25.7251      27.0575
     112      25.8576      27.8240
     113      27.1433      27.8335
     114      26.2035      27.3612
     115      26.8290      26.8675
     116      27.1966      26.5345
     117      25.8530      26.2845
     118      26.4371      26.2084
     119      26.1308      26.1085
     120      26.9018      25.5938
     121      25.9498      26.0580
     122      26.1838      26.3878
     123      26.8295      25.6027
     124      27.5642      26.6878
     125      26.9485      26.3507
     126      26.6095      26.6652
     127      25.8948      25.5785
     128      26.6900      25.9898
     129      26.2943      25.7912
     130      26.9586      25.0429
     131      26.7648      25.8762
     132      26.4001      26.3353
     133      26.0515      25.8997
     134      25.9841      25.5901
     135      26.0532      25.6760
     136      26.2183      25.9908
     137      25.8382      27.4728
     138      25.3310      26.9341
     139      24.7204      27.1817
     140      24.9919      26.9565
     141      25.3825      27.1266
     142      25.8196      25.6737
     143      25.9719      25.7286
     144      26.3140      25.2004
     145      26.5441      25.3084
     146      25.9134      24.4810
     147      25.1321      25.0206
     148      23.9239      25.8132
     149      24.5669      26.0933
     150      24.9691      25.8414
     151      24.5782      25.8145
     152      25.0227      25.5883
     153      24.9258      25.5871
     154      25.6577      25.4465
     155      25.7927      26.0135
     156      25.5074      25.9446
     157      24.1023      26.5797
     158      24.2448      25.5484
     159      24.6178      26.5741
     160      24.7156      26.4811
     161      24.4733      26.9636
     162      25.3687      26.9106
     163      24.7962      27.0657
     164      23.4429      26.8880
     165      23.8979      26.2783
     166      24.4752      26.1532
     167      23.8714      27.2986
