#Frame          side1        side2
     246      28.4187      28.2301
     247      27.3787      27.5425
     248      27.8961      27.9114
     249      28.0036      27.6572
     250      27.7084      27.0919
     251      27.1155      26.9107
     252      26.7821      26.1797
     253      26.8862      26.5268
     254      26.9143      27.0701
     255      27.1096      27.1322
     256      27.0615      27.0086
     257      28.2926      26.5043
     258      27.8691      26.1373
     259      28.1077      26.8347
     260      28.1972      26.4716
     261      28.5050      25.6664
     262      28.1111      25.2189
     263      28.9049      26.7913
     264      28.5734      25.9790
     265      28.2763      26.7601
     266      28.0236      26.6485
     267      27.8536      26.6718
     268      27.2799      26.9087
     269      26.4179      26.5601
     270      27.9067      26.8729
     271      28.8124      27.3514
     272      28.4255      27.7179
     273      28.5675      27.7412
     274      27.8430      27.8028
     275      27.8655      27.3240
     276      27.8726      26.8695
     277      27.6285      26.6102
     278      27.2953      26.1484
     279      27.1200      26.4684
     280      27.6149      26.6099
     281      27.6788      27.9734
     282      26.3141      26.8371
     283      25.6313      27.4317
     284      26.6005      27.0998
     285      26.8089      27.3467
     286      26.3123      27.3053
     287      26.5475      27.3542
     288      26.9286      27.2295
     289      27.6187      26.8273
     290      26.7043      27.2539
     291      26.5264      27.8691
     292      26.2359      26.8158
     293      26.0298      27.2996
     294      26.6272      27.0729
     295      26.8237      27.2067
     296      26.9002      27.9216
     297      28.7275      28.7426
     298      28.2667      27.4031
     299      28.1509      26.0975
     300      27.6116      26.0598
     301      27.2146      26.6085
     302      27.4029      26.8753
     303      27.0929      27.6546
     304      26.1025      27.5379
     305      25.6071      27.0975
     306      26.2587      27.9575
     307      25.2793      26.8322
     308      25.5875      27.1776
     309      25.8091      27.8041
     310      25.8192      27.5437
     311      25.6656      27.1265
     312      25.5195      27.9947
     313      26.1162      27.6948
     314      26.9524      27.3585
     315      26.5625      27.1740
     316      27.2589      26.3328
     317      27.0752      26.9322
     318      26.8206      26.0423
     319      27.0125      25.9033
     320      26.6291      26.8663
     321      26.9707      26.5354
     322      27.4986      26.8768
     323      26.5314      26.3593
     324      27.1164      25.6418
     325      25.9549      26.6703
     326      26.3533      26.5917
     327      26.4865      26.9082
     328      25.9699      27.1619
     329      25.5838      26.8971
     330      26.3258      28.0158
     331      26.5832      27.4186
     332      26.4444      27.5830
     333      26.1724      25.8717
     334      25.2297      26.7232
     335      25.6861      25.7347
     336      25.6844      26.1843
     337      25.3312      26.5094
     338      26.5500      27.1275
     339      26.2771      27.7451
     340      25.0507      26.5910
