#Frame          side1        side2
       1      25.6438      25.5224
       2      25.4982      26.3095
       3      24.2578      25.3050
       4      25.0541      26.1089
       5      25.3742      27.0177
       6      24.5586      26.8975
       7      25.2280      27.6444
       8      24.7861      27.2564
       9      25.3305      28.5480
      10      26.1657      26.9138
      11      26.5188      25.7684
      12      25.6772      24.6989
      13      25.5728      24.8584
      14      26.3300      25.3101
      15      25.5755      24.7285
      16      26.1005      24.3124
      17      25.7987      25.1808
      18      26.5048      26.0664
      19      27.0742      25.4811
      20      26.1638      26.7322
      21      26.9588      26.3875
      22      26.0885      27.3387
      23      26.0993      26.4292
      24      26.5265      26.3259
      25      25.4556      25.4806
      26      26.1365      26.1853
      27      25.7400      24.9741
      28      25.3348      25.4124
      29      25.2239      26.0113
      30      25.2868      26.6436
      31      25.6329      25.7983
      32      25.6493      24.9133
      33      25.7273      25.5216
      34      25.9459      25.7275
      35      26.3112      25.6285
      36      25.6868      25.4426
      37      25.8138      27.0422
      38      26.0754      26.5021
      39      26.3111      26.3367
      40      26.6936      26.9854
      41      26.7549      27.5294
      42      25.8544      27.6467
      43      25.3853      27.4202
      44      24.9080      27.2582
      45      25.5780      26.5450
      46      25.3775      25.8440
      47      25.4992      26.6279
      48      25.6199      26.4400
      49      25.6555      26.8013
      50      25.1287      26.4046
      51      25.4820      25.6815
      52      25.5581      25.1094
      53      25.6030      24.7718
      54      25.2278      25.7467
      55      26.2356      25.3385
      56      25.8231      24.7995
      57      26.0064      25.9482
      58      25.4224      26.3499
      59      24.7030      25.4175
      60      24.4980      26.2150
      61      24.2848      25.5463
      62      24.7348      25.2943
      63      23.7760      26.0829
      64      24.1545      24.8491
      65      24.0680      25.8982
      66      24.5184      25.7283
      67      25.1264      25.8823
      68      24.2600      26.2319
      69      24.5102      26.5092
      70      25.6580      26.4453
      71      25.1853      26.2994
      72      24.3222      25.8816
      73      24.5374      26.6378
      74      25.3352      26.4386
      75      25.7972      26.8915
      76      25.6403      26.9909
      77      25.8339      26.3345
      78      25.4761      26.3291
      79      25.4988      26.8817
      80      24.9568      26.8326
      81      24.9340      27.4732
      82      23.9704      26.8275
      83      24.6760      26.5711
      84      24.6194      26.3420
      85      24.8319      25.6648
      86      24.0813      26.0324
      87      24.3469      25.2302
      88      24.9316      25.7181
      89      24.8636      25.3671
      90      23.8320      25.4248
      91      23.5298      26.0600
      92      24.4301      26.4286
      93      24.2062      25.8915
      94      24.6531      25.9416
      95      24.4352      25.9918
      96      24.4777      24.4857
      97      25.1440      25.3387
      98      25.6263      25.8057
      99      26.0178      26.0264
     100      25.7013      25.6534
     101      26.4471      25.4529
     102      25.7874      26.9767
     103      25.5920      26.2008
     104      25.2086      27.0311
     105      25.6732      26.6649
     106      25.4489      26.9952
     107      26.3067      26.1384
     108      24.1839      27.5349
     109      24.5673      27.4353
     110      25.4239      27.2300
     111      24.2403      27.2102
     112      24.8922      27.1726
     113      25.3515      27.0041
     114      25.9063      25.8388
     115      26.1498      26.5032
     116      25.2949      26.0314
     117      24.8611      26.2215
     118      25.0921      27.2226
     119      26.0498      26.4452
     120      25.2210      26.2981
     121      25.8130      26.9051
     122      25.5951      27.3469
     123      25.3589      27.6661
     124      25.3033      26.1667
     125      25.2918      25.8426
     126      25.1002      25.7047
     127      24.9198      26.3853
     128      25.7247      25.8672
     129      26.5353      25.4722
     130      26.5669      25.1591
     131      25.7644      25.1884
     132      25.6967      25.8323
     133      25.8393      25.8477
     134      26.4914      24.7028
     135      26.2061      24.9555
     136      25.9236      24.8833
     137      26.6929      25.3696
     138      26.0980      25.2619
     139      26.3178      25.3471
     140      27.1200      25.4809
     141      25.2804      26.1007
     142      24.8540      25.5772
     143      25.7861      25.7916
     144      25.2033      25.8805
     145      25.6784      25.5008
     146      26.8183      25.7451
     147      26.3863      26.0273
     148      26.5087      25.4433
     149      25.8616      26.1431
     150      26.6964      25.7607
     151      25.8791      26.9875
     152      26.3797      26.5451
     153      25.5216      26.1156
     154      25.1294      26.7627
     155      26.6270      25.7857
     156      25.1855      25.7808
     157      25.6445      25.6717
     158      25.7443      25.3832
     159      25.7903      26.1830
     160      26.0033      25.0950
     161      25.4531      25.5582
     162      25.4657      24.4517
     163      25.8686      24.2412
     164      25.8944      24.8186
     165      26.1710      24.4643
     166      26.3736      24.6362
     167      25.2000      25.4006
     168      25.8494      24.9831
     169      25.0599      25.2198
     170      26.1924      25.6341
     171      25.6968      25.7235
     172      24.7218      25.7430
     173      25.5006      25.5585
     174      25.3130      26.5694
     175      24.8673      24.9662
     176      25.5270      24.7399
     177      24.8092      24.5244
     178      25.6423      24.3826
     179      24.9871      25.1293
     180      24.4630      25.2115
     181      24.4247      24.7168
     182      24.6113      24.2895
     183      24.7741      24.2617
     184      24.9046      24.2340
     185      25.0355      24.7735
     186      24.2509      25.0592
     187      24.9256      24.2657
     188      25.2086      24.3311
     189      26.0528      24.3052
     190      25.5190      24.4216
     191      24.7816      24.6288
     192      24.8036      24.4294
     193      24.8021      24.9146
     194      24.4675      24.7831
     195      25.0139      24.0560
     196      24.7185      23.7213
     197      24.3080      24.1573
     198      25.1485      23.1612
     199      24.5537      24.5601
     200      24.0938      24.5345
     201      24.1778      24.6066
     202      23.8275      24.5046
     203      23.0132      25.0737
     204      24.0027      24.2173
     205      24.1479      24.5869
     206      24.1319      26.1600
     207      24.1856      26.3920
     208      24.0617      25.8396
     209      23.8748      26.0560
     210      24.8116      25.4663
     211      24.3284      26.9441
     212      24.2312      26.1705
     213      25.2346      25.9556
     214      24.7453      25.8337
     215      24.1100      25.2215
     216      24.4807      25.8819
     217      23.6740      25.7281
     218      23.6526      26.4558
     219      24.6090      25.3674
     220      24.2644      25.1116
     221      24.4477      26.3750
     222      24.8401      27.1598
     223      24.3187      26.5123
     224      23.9600      27.7017
     225      24.3389      27.5854
     226      23.4746      27.9138
     227      23.8669      28.1068
     228      24.3459      27.8216
     229      24.8430      27.6353
     230      24.3902      27.6478
     231      24.7868      27.7453
     232      24.7082      27.5552
     233      24.1324      28.4088
     234      23.4310      28.4055
     235      22.7372      27.1764
     236      23.5860      26.1605
     237      23.9986      26.7034
     238      24.1077      26.1249
     239      24.4158      26.2745
     240      24.9779      26.8324
     241      24.3377      27.1246
     242      23.4998      26.7323
     243      23.0209      26.6390
     244      23.4264      27.0096
     245      24.1925      27.3354
     246      23.7442      28.1775
     247      23.5212      27.5493
     248      23.8574      27.7590
     249      23.4838      28.5899
     250      24.0522      27.6301
     251      24.2297      27.8907
     252      24.5849      26.8148
     253      25.2101      27.1137
     254      24.4218      26.9862
     255      24.3422      27.0136
     256      23.7904      26.8958
     257      23.8228      26.6013
     258      24.3612      26.6805
     259      24.0478      27.0846
     260      23.9313      27.8114
     261      24.6136      28.7193
     262      24.1834      27.8060
     263      24.6344      27.4345
     264      24.5807      27.2008
     265      24.7907      26.8437
     266      25.3203      26.8328
     267      25.6727      27.0562
     268      25.1620      27.4323
     269      25.6898      27.6848
     270      25.4602      28.2763
     271      25.3858      27.3917
     272      25.5169      26.9896
     273      25.1128      27.2987
     274      24.6193      27.0342
     275      24.0809      25.8324
     276      24.8048      25.8299
     277      24.7615      25.3394
     278      24.8937      27.1237
     279      25.3719      27.1823
     280      24.8402      28.2047
     281      25.3421      27.4722
     282      25.8974      27.0120
     283      25.7577      25.8082
     284      26.0017      25.9060
     285      25.8491      25.7144
     286      26.2176      26.7315
     287      25.7060      25.7399
     288      25.5338      26.7586
     289      24.9915      26.4232
     290      25.6485      26.4564
     291      26.4272      26.2164
     292      26.6627      26.5144
     293      25.3881      26.3657
     294      26.1720      26.5997
     295      25.1912      26.1800
     296      25.8083      27.0472
     297      25.4679      26.8914
     298      25.9549      27.5851
     299      25.6889      27.2192
     300      25.0140      27.1300
     301      25.4215      27.1742
     302      25.4739      27.0208
     303      24.7921      25.2721
     304      24.0083      25.9211
     305      24.2113      26.0677
     306      24.7751      26.6240
     307      24.2623      26.7907
     308      25.0509      26.5952
     309      24.9751      26.7895
     310      24.4042      26.3031
     311      25.2885      27.6349
     312      24.6835      28.5216
     313      25.0678      28.1667
     314      24.9323      27.9919
     315      24.7909      26.1428
     316      25.5094      25.9365
     317      25.1824      25.1712
     318      25.5239      25.0430
     319      25.5536      25.2879
     320      24.6333      25.8947
     321      24.8915      26.3547
     322      23.4743      26.0607
     323      25.0871      25.8506
     324      24.2305      26.4704
     325      24.9636      26.5249
     326      24.3067      26.5161
     327      23.0835      26.2471
     328      24.1335      26.7730
     329      24.3961      26.9766
     330      23.9480      26.8762
     331      24.5210      26.2320
     332      24.1726      25.5327
     333      24.7822      26.9869
     334      25.7925      26.8003
     335      25.6515      27.5224
     336      24.8941      26.8137
     337      25.2068      27.1953
     338      23.8899      26.9944
     339      23.9617      27.4598
     340      23.5565      26.8819
     341      22.6053      27.2309
     342      22.7209      26.7718
     343      23.4223      26.8636
     344      23.2548      27.2819
     345      23.0343      26.9517
     346      22.6348      26.1055
     347      25.0356      26.4293
     348      24.3160      27.0187
     349      24.9406      27.1024
     350      23.7812      27.0079
     351      23.7682      27.4677
     352      24.6860      27.0765
     353      24.9669      27.5565
     354      24.0233      27.3451
     355      24.7832      26.1557
     356      25.2396      26.6451
     357      25.2774      26.9614
     358      24.6848      26.7654
     359      23.8183      25.2249
     360      24.6414      26.2165
     361      24.7487      26.7623
     362      24.3382      25.9378
     363      24.5925      26.4558
     364      23.1383      25.5612
     365      23.5208      25.0305
     366      24.2976      25.7977
     367      24.7069      25.0304
     368      23.8354      25.3505
     369      24.2358      25.9683
     370      24.6840      26.7299
     371      23.7622      27.8351
     372      23.8437      27.1438
     373      23.9188      25.7699
     374      23.5368      25.9046
     375      23.5211      25.3131
     376      23.3809      24.8710
     377      23.2776      24.8894
     378      22.9427      24.9036
     379      24.2233      25.3435
     380      24.4603      24.5216
     381      23.2944      25.4979
     382      23.9418      25.4937
     383      24.8065      25.4443
     384      24.9016      25.7000
     385      24.6701      25.8522
     386      24.1010      26.0491
     387      24.1407      25.2456
     388      22.6676      24.9248
     389      23.8113      25.0607
     390      23.6743      24.9214
     391      22.7984      25.4512
     392      22.1670      24.8660
     393      23.0192      25.5236
     394      23.8931      25.7746
     395      23.6322      25.5343
     396      24.0255      26.4407
     397      24.0870      26.4089
     398      24.3507      25.7674
     399      24.2440      25.3541
     400      23.7934      25.5665
     401      24.4573      25.0044
     402      24.1810      24.4393
     403      23.9937      24.6353
     404      23.1579      25.4617
     405      23.7517      24.9665
     406      24.2128      23.7138
     407      22.6638      23.6945
     408      22.2309      24.3416
     409      22.5106      23.8280
     410      23.7597      24.8402
     411      23.5786      24.6803
     412      23.5275      26.1090
     413      23.5130      25.8694
     414      23.9879      25.7756
     415      23.8703      25.8086
     416      22.2532      26.3097
     417      23.0080      24.3623
     418      22.2787      23.7975
     419      23.2515      24.2447
     420      22.9888      25.2079
     421      22.9951      24.3808
     422      22.8813      24.8228
     423      23.4451      25.0864
     424      23.5421      24.8229
     425      23.0542      25.0717
     426      23.1404      24.8518
     427      23.3246      24.9339
     428      23.7969      25.1871
     429      23.0387      26.2673
     430      23.3563      27.9431
     431      23.0467      28.0978
     432      22.8803      26.8397
     433      23.4879      27.7826
