#Frame          side1        side2
       1      25.7827      21.4385
       2      26.4150      22.9527
       3      26.3820      22.5170
       4      25.8726      23.1736
       5      25.9305      23.3043
       6      26.4849      22.8031
       7      27.0228      22.5301
       8      25.8465      22.8821
       9      26.7198      21.8202
      10      26.4941      21.6176
      11      26.2915      23.2069
      12      26.1353      23.7383
      13      26.2756      23.4956
      14      25.7718      22.9111
      15      26.2831      24.0237
      16      26.4775      21.9709
      17      26.2977      22.9330
      18      26.6672      22.4220
      19      27.5333      23.2992
      20      28.2107      23.5713
      21      26.6921      22.5584
      22      26.8424      22.9852
      23      27.0045      21.9075
      24      26.8522      23.1695
      25      26.5746      23.2473
      26      26.9549      23.8556
      27      27.0103      24.3968
      28      27.1674      23.9539
      29      27.9246      23.5671
      30      27.1322      23.8176
      31      27.8198      23.6261
      32      27.8382      22.4230
      33      27.4257      22.9644
      34      26.9929      23.2243
      35      27.3034      23.6600
      36      27.1802      24.0114
      37      26.1509      24.2652
      38      26.2909      23.0117
      39      25.3442      22.3027
      40      25.5014      22.8246
      41      25.6501      22.0481
      42      26.2006      22.8148
      43      26.3188      22.4724
      44      26.6459      22.3845
      45      27.4186      23.6808
      46      27.9277      23.1756
      47      26.8707      23.2375
      48      26.5659      23.1356
      49      27.0144      23.0660
      50      26.6359      22.9305
      51      27.0062      22.6322
      52      26.9833      22.4153
      53      27.3214      22.6777
      54      27.7418      22.1179
      55      27.4322      22.7123
      56      27.2090      22.1908
      57      26.9698      22.5913
      58      26.6463      22.4488
      59      26.8981      23.5809
      60      27.4351      24.0500
      61      27.1308      23.1827
      62      26.8737      23.5706
      63      26.7601      23.6876
      64      25.9950      23.2975
      65      25.7609      22.8589
      66      26.1662      23.7713
      67      28.0674      23.6566
      68      26.9142      22.5792
      69      26.9431      24.1214
      70      26.9673      24.3676
      71      27.1590      24.7424
      72      26.4733      24.0861
      73      26.2736      24.1326
      74      27.3685      24.5677
      75      27.9139      24.1861
      76      27.1676      23.7857
      77      27.9233      23.2192
      78      26.9063      23.8156
      79      28.2290      23.5411
      80      27.1182      23.1232
      81      26.8076      22.8584
      82      26.4633      23.2055
      83      26.0636      22.9778
      84      26.6670      22.8580
      85      26.4434      23.4110
      86      25.8390      23.8079
      87      25.7683      23.5319
      88      24.6247      23.1906
      89      25.8026      23.6418
      90      27.0037      23.5496
      91      25.7981      23.6430
      92      25.1856      22.4765
      93      25.0781      22.7678
      94      26.0531      23.9939
      95      26.3901      23.3098
      96      26.1284      23.2126
      97      25.5998      23.0396
      98      25.6405      23.0451
      99      25.5843      23.9557
     100      26.1759      24.3950
     101      27.3004      24.2900
     102      28.1369      24.8551
     103      26.7712      24.2649
     104      26.4495      24.4537
     105      26.9146      23.1536
     106      26.9681      23.4055
     107      26.6256      22.1802
     108      25.7755      22.5780
     109      26.0129      22.9156
     110      26.1990      23.1334
     111      26.3686      23.1887
     112      26.0667      23.3015
     113      26.6709      23.7539
     114      25.1441      22.9826
     115      24.6978      23.0902
     116      25.2139      23.3523
     117      25.2332      23.6280
     118      25.6794      23.7999
     119      26.6389      24.8749
     120      26.9852      23.4792
     121      27.6180      24.3052
     122      27.4981      24.2543
     123      27.3208      24.7823
