#Frame          side1        side2
       1      22.7395      23.3402
       2      23.4236      23.8884
       3      23.7371      23.7849
       4      24.1209      24.4499
       5      23.9010      23.9525
       6      24.3721      23.8070
       7      24.2529      22.8897
       8      23.3403      23.6853
       9      24.2683      24.3290
      10      23.6360      24.9392
      11      23.6077      25.0024
      12      23.2866      24.6453
      13      23.1606      25.8327
      14      23.1964      25.1626
      15      24.4751      25.4092
      16      24.1485      25.3995
      17      24.3500      25.8756
      18      24.9290      24.6966
      19      23.8640      23.9198
      20      24.0632      24.6365
      21      24.7641      24.3396
      22      24.3412      24.8159
      23      24.0330      25.0586
      24      23.1575      24.9594
      25      25.4236      25.7949
      26      25.0094      25.8459
      27      24.5723      26.9273
      28      24.5885      26.4953
      29      24.9043      26.1783
      30      24.3049      26.3017
      31      24.2893      26.6672
      32      23.1680      27.2902
      33      23.6340      26.8292
      34      24.8887      26.1017
      35      23.9725      25.2867
      36      23.3746      25.5346
      37      23.7271      26.2788
      38      24.2961      26.2861
      39      24.2843      26.1138
      40      24.1491      26.5893
      41      23.5336      26.0993
      42      23.2171      26.2270
      43      23.8192      26.7780
      44      22.8243      26.6593
      45      22.9210      26.2984
      46      23.4821      26.6085
      47      23.2129      26.3425
      48      24.0041      26.3309
      49      23.6425      26.0124
      50      24.4988      26.4335
      51      24.0255      26.6293
      52      23.8638      25.9827
      53      23.5894      26.5371
      54      23.9175      25.5540
      55      25.3071      25.2991
      56      24.7110      26.7296
      57      24.4124      26.3281
      58      24.4835      25.4633
      59      23.5796      25.1070
      60      23.8728      27.1895
      61      23.3531      26.1007
      62      24.4555      26.1286
      63      24.1180      25.3414
      64      24.0409      26.1393
      65      24.0261      26.6505
      66      24.2653      26.1730
      67      24.3204      25.6685
      68      24.8666      25.4430
      69      24.1470      25.2510
      70      23.8675      26.2926
      71      23.4509      25.8909
      72      24.0799      25.8550
      73      25.3461      25.7085
      74      24.3133      26.1568
      75      23.8818      25.5001
      76      24.2650      26.7468
      77      24.2315      25.7646
      78      24.2102      26.1647
      79      24.1571      25.9592
      80      23.9384      25.8454
      81      24.2162      25.8561
      82      24.0132      25.5432
      83      24.3794      26.3720
      84      24.6700      26.3990
      85      24.4156      26.3516
      86      24.9679      25.8944
      87      25.1622      24.8596
      88      24.7923      25.5203
      89      24.3041      26.2991
      90      25.8783      26.6021
      91      25.1384      26.9926
      92      25.3120      25.4763
      93      24.8183      25.8746
      94      24.4311      26.1887
      95      23.6358      26.9685
      96      23.7291      26.3466
      97      24.3657      25.6015
      98      24.2027      26.3349
      99      24.9032      26.0924
     100      24.8072      24.7951
     101      25.7099      24.4769
     102      23.7980      25.0114
     103      23.9970      24.3556
     104      23.8716      24.4147
     105      23.5622      24.6329
     106      23.6875      25.5537
     107      24.1105      25.5618
     108      24.7963      25.2912
     109      25.9082      25.4193
     110      25.9691      24.9730
     111      25.4615      24.9783
     112      25.5138      26.3796
     113      25.0092      25.4644
     114      25.4793      25.9926
     115      25.4787      26.3643
     116      25.0521      25.7651
     117      25.6941      26.1117
     118      25.7750      25.3598
     119      25.7771      25.8657
     120      25.5194      25.8883
     121      24.9954      26.0403
     122      25.8722      25.7640
     123      26.5189      25.1437
     124      26.3355      25.3753
     125      26.4618      25.4392
     126      26.0597      25.5269
     127      25.5609      26.3324
     128      25.5313      25.8917
     129      25.7564      25.7491
     130      24.3802      26.4476
     131      24.2541      25.5062
     132      25.3480      26.4971
     133      25.1206      25.9681
     134      24.7504      24.9813
     135      24.8184      25.7210
     136      24.4925      24.8253
     137      24.8053      25.5997
     138      25.2712      25.2356
     139      25.3226      25.4071
     140      25.5080      25.2066
     141      24.8294      24.8960
     142      25.7500      25.6872
     143      25.7002      25.1276
     144      25.1493      25.2850
     145      25.5465      24.9862
     146      25.5451      24.5007
     147      25.8600      26.1065
     148      25.7237      25.7336
     149      25.1486      25.0830
     150      26.0089      25.3866
     151      26.2595      25.5846
     152      25.6392      26.1905
     153      26.2382      26.5178
     154      25.6860      25.6499
     155      25.5116      26.6273
     156      26.2969      26.1128
     157      26.7137      26.4078
     158      26.4548      26.4001
     159      25.6388      26.1223
     160      24.9957      26.2074
     161      25.4231      26.8797
     162      25.8924      26.4231
     163      27.0101      26.1961
     164      25.6695      26.3695
     165      25.4851      25.8349
     166      25.3595      25.0904
     167      25.5976      25.0931
     168      25.2372      24.2204
     169      25.5843      25.4885
     170      26.1356      24.9236
     171      25.9542      24.9361
     172      24.7559      24.4625
     173      25.0448      24.1704
     174      24.5361      24.4221
     175      25.4969      25.0757
     176      24.8100      25.5394
     177      24.9472      25.9280
     178      25.2060      26.0730
     179      24.9317      26.2771
     180      24.4817      26.6942
     181      25.1770      26.5495
     182      25.4847      26.5300
     183      24.9405      26.3446
     184      25.2129      26.3192
     185      25.1248      27.2090
     186      25.1964      27.6362
     187      24.3822      28.3108
     188      25.0482      27.9011
     189      25.2008      26.8556
     190      24.6703      26.7215
     191      26.1018      27.0534
     192      25.3281      27.4482
     193      25.0007      28.4572
     194      25.2792      28.5252
     195      25.4626      29.3964
     196      23.8544      29.2591
     197      24.5208      29.2428
     198      24.8573      29.2447
     199      24.9209      28.8070
     200      25.0586      28.6563
     201      25.2202      28.8973
     202      24.8221      28.0089
     203      25.1549      28.2777
     204      24.8089      27.6545
     205      24.8034      27.3072
     206      24.8364      27.2054
     207      24.8179      27.2368
     208      25.0420      27.1845
     209      25.5033      26.9118
     210      24.6867      26.0964
     211      24.9474      26.3416
     212      25.0257      27.4264
     213      24.9284      27.2400
     214      25.5365      27.1269
     215      25.4186      27.4405
     216      25.1629      28.9779
     217      25.9530      28.8504
     218      24.8717      28.4712
     219      24.7715      28.3011
     220      25.3448      28.3827
     221      25.1268      29.4790
     222      25.6259      28.0992
     223      25.3768      27.9282
     224      25.3249      28.0524
     225      24.8712      28.7363
     226      24.2895      28.8532
     227      25.3126      29.6423
     228      25.1495      29.6399
     229      25.8815      28.9255
     230      24.5262      28.2871
     231      25.3890      27.3859
     232      25.5208      26.9884
     233      25.2298      27.0080
     234      25.2173      27.0825
     235      25.2125      26.9606
     236      26.1977      26.7506
     237      26.0559      26.9189
     238      25.7520      27.8423
     239      24.5988      26.8641
     240      24.8078      27.9890
     241      25.6116      27.4272
     242      25.6800      27.7733
     243      25.6432      27.3589
     244      25.2676      27.1617
     245      25.3206      27.5592
     246      25.8165      27.2668
     247      25.5796      27.3334
     248      25.8252      27.0967
     249      25.6643      26.6866
     250      25.2685      27.2142
     251      24.4035      27.4089
     252      24.2915      27.1166
     253      24.0771      27.1568
     254      25.3484      27.2639
     255      24.8514      27.7033
     256      24.6882      27.4996
     257      24.6458      27.2582
     258      25.0953      27.1428
     259      24.4735      27.6625
     260      25.0143      27.6971
     261      25.2363      27.5191
     262      24.9296      27.1842
     263      24.6907      27.7773
     264      24.2293      26.6958
     265      24.8102      27.2696
     266      24.7378      26.4894
     267      24.9236      25.6376
     268      25.6245      25.1619
     269      25.1558      26.0358
     270      25.5049      25.4914
     271      24.3791      26.3040
     272      25.5016      26.3875
     273      26.2535      26.7130
     274      25.9306      26.3831
     275      25.4135      26.4348
     276      25.7447      26.7988
     277      25.1114      26.9042
     278      25.7596      26.8140
     279      25.3444      26.5425
     280      25.2497      26.7990
     281      25.3618      26.6003
     282      25.4754      27.0070
     283      26.0584      26.9296
     284      25.4260      26.7412
     285      25.2554      26.0922
     286      26.0141      25.9604
     287      26.3008      26.2503
     288      26.4816      26.1780
     289      25.8357      25.7611
     290      25.0982      25.1628
     291      25.9760      26.5998
     292      25.1158      26.5122
     293      25.3688      26.2391
     294      25.9371      26.2262
     295      25.1421      26.2715
     296      25.7076      26.7632
     297      24.1499      25.7748
     298      25.7406      25.5606
     299      26.1410      26.2316
     300      25.5332      25.4359
     301      25.1471      26.6020
     302      25.5655      26.2011
     303      25.5826      26.0833
     304      25.6503      26.7193
     305      25.6908      27.3305
     306      26.2235      27.2356
     307      26.1871      26.5268
     308      25.2439      26.9982
     309      25.8419      27.0439
     310      26.3651      27.8378
     311      25.1357      27.5339
     312      25.4058      27.3680
     313      24.3345      26.3002
     314      25.3785      26.4456
     315      25.6191      26.9816
     316      25.4457      26.9431
     317      24.9843      27.0425
     318      23.7347      26.2579
     319      25.0626      26.4939
     320      25.0309      26.2782
     321      24.7523      26.4724
     322      25.4959      26.8237
     323      24.7805      27.2094
     324      25.7658      27.5086
     325      26.2566      26.3262
     326      25.7684      27.2964
     327      26.1927      26.6730
     328      25.5555      27.2988
     329      25.2994      27.5335
     330      24.4018      28.0095
     331      25.7888      27.2965
     332      25.1670      26.9086
     333      26.3038      27.4096
     334      25.7305      27.8052
     335      24.8983      26.8129
     336      24.9888      26.8536
     337      24.4466      26.7091
     338      24.5572      26.7546
     339      24.7143      26.3190
     340      24.2108      26.4412
     341      24.8515      26.6935
     342      25.7475      26.2243
     343      24.9146      25.3820
     344      24.8874      26.2291
     345      26.0673      25.4366
     346      25.0515      26.0303
     347      25.3989      26.7007
     348      25.6711      26.2977
     349      25.8077      26.1179
     350      26.3318      25.9097
     351      25.0601      26.9131
     352      25.4702      26.6006
     353      25.0451      26.8152
     354      24.7804      26.6972
     355      24.7395      27.3847
     356      24.9405      27.4035
     357      25.3860      27.4335
     358      25.7505      26.7492
     359      26.1161      26.9802
     360      25.4079      26.9751
     361      25.1078      27.5293
     362      24.6210      27.7133
     363      25.6264      26.9646
     364      25.5424      27.1788
     365      24.5807      26.8266
     366      24.7669      26.8894
     367      25.1544      26.0507
     368      25.6556      26.7935
     369      26.4948      27.0198
     370      27.5248      27.0029
     371      26.1991      26.0001
     372      25.0806      26.8971
     373      24.4877      27.0831
     374      24.1537      26.9076
     375      25.0224      26.5151
     376      25.0622      26.3956
     377      23.6842      27.0576
     378      24.7136      26.7294
     379      25.1156      27.1409
     380      24.8847      26.8349
     381      25.1418      26.2247
     382      24.7943      25.8234
     383      25.8677      26.6905
     384      25.7646      26.1776
     385      25.6552      27.0689
     386      25.6109      26.3542
     387      25.5904      26.6808
     388      25.0945      26.3934
     389      25.2376      26.1963
     390      26.4393      26.6723
     391      25.5066      27.6987
     392      25.5618      27.4120
     393      25.1869      27.4647
     394      25.2110      27.4808
     395      25.2746      27.3417
     396      24.8882      27.7069
     397      24.4752      27.6633
     398      25.3562      27.7298
     399      24.2352      27.5345
     400      24.6194      27.3110
     401      24.9076      27.3467
     402      23.6718      27.2917
     403      24.1151      27.3207
     404      25.0882      27.1547
     405      26.2115      26.1032
     406      25.9450      26.3738
     407      24.1957      25.4178
     408      24.1250      25.9332
     409      24.1521      25.5763
     410      23.8515      26.5109
     411      23.4400      27.7592
     412      23.3972      28.1483
     413      23.1844      27.4652
     414      23.6421      27.6309
     415      24.0222      26.5218
     416      24.1875      27.5372
     417      25.0885      27.5021
     418      24.8865      27.1541
     419      25.2043      27.6682
     420      25.9466      27.2129
     421      24.7648      26.5894
     422      25.1718      26.1542
     423      24.7315      26.6609
     424      24.9809      25.9435
     425      25.9164      26.3427
     426      26.1570      26.1576
     427      25.8306      25.4315
     428      26.2562      27.0049
     429      25.8517      26.2982
     430      25.9593      26.2759
     431      25.8156      26.3937
     432      25.8086      27.1005
     433      26.0367      26.5589
     434      25.0962      26.5715
     435      25.2310      26.9331
     436      25.8434      27.2577
     437      25.2892      27.4405
     438      24.3844      27.6240
     439      25.4914      27.0329
     440      25.2299      27.4433
     441      25.6954      26.6838
     442      25.2482      27.8668
     443      24.9798      27.6010
     444      24.9987      26.8095
     445      25.4681      26.0396
     446      24.3977      27.2642
     447      24.8246      27.0932
     448      24.3426      26.5592
     449      24.6101      26.2359
     450      25.6799      26.6091
     451      25.4532      25.7264
     452      25.1008      26.3695
     453      25.1137      27.0543
     454      26.1429      27.3681
     455      25.6788      26.9238
     456      25.7019      26.3515
     457      25.6399      25.8389
     458      25.8443      26.8102
     459      25.1896      27.0431
     460      25.5500      26.6763
     461      25.6614      25.9868
     462      25.5926      27.2170
     463      25.7364      27.5098
     464      24.4956      27.1872
     465      25.4706      27.0841
     466      25.1705      26.7537
     467      26.2024      26.0051
